frame	start	end	duration	title_hi	title_en	source	image_path	rubab_overlay	effects	note
18	25.269	26.858	1.589	Shot 018	018 Swirling Musical Wind	18	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0018_swirling_musical_wind.jpg	yes	grain,vignette,dust	Intro road, ney, shankh prelude. Sepia wind ribbons carrying musical notes.
19	26.858	28.447	1.589	Shot 019	019 Red Notes Mountain Wind	19	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0019_red_notes_mountain_wind.jpg	yes	grain,vignette,dust	Intro road, ney, shankh prelude. Red musical notes over mountain wind ribbons.
20	28.447	29.591	1.144	Shot 020	020 Dark Music Notes	20	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0020_dark_music_notes.jpg	yes	grain,vignette	Intro road, ney, shankh prelude. Sparse red music notes on black field.
21	29.591	30.62	1.029	Shot 021	021 Flute Silhouette Closeup	21	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0021_flute_silhouette_closeup.jpg	yes	grain,vignette	Intro road, ney, shankh prelude. Dark close-up of fingers on flute.
22	30.62	32.209	1.589	Shot 022	022 Mountain Music Ribbons	22	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0022_mountain_music_ribbons.jpg	yes	grain,vignette	Intro road, ney, shankh prelude. Mountain valley crossed by flowing musical ribbons.
23	32.209	33.798	1.589	Shot 023	023 Cloak Mountain Music Ribbons	23	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0023_cloak_mountain_music_ribbons.jpg	yes	grain,vignette	Intro road, ney, shankh prelude. Cloaked figure and music ribbons through mountain pass.
24	33.798	35.228	1.43	Shot 024	024 Intro Ney Closed Eyes	24	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0024_intro_ney_closed_eyes.jpg	yes	grain,vignette	Intro road, ney, shankh prelude. Elder closed-eyed portrait with intro flute caption.
25	35.228	36.646	1.418	Shot 025	025 Shankh On Pedestal	25	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0025_shankh_on_pedestal.jpg	no	grain,vignette	Sanskrit blast and red sonic rupture. Conch shell resting on plinth under storm clouds.
26	36.646	38.32	1.674	Shot 026	026 Sage Shankh Mountain Blast	26	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0026_sage_shankh_mountain_blast.jpg	no	grain,vignette,sonic	Sanskrit blast and red sonic rupture. Elder blows conch shell in mountain setting.
27	38.32	39.597	1.277	Shot 027	027 Shankh Hands Detail	27	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0027_shankh_hands_detail.jpg	no	grain,vignette	Sanskrit blast and red sonic rupture. Hands and mouth on decorated conch shell.
28	39.597	41.271	1.674	Shot 028	028 Sage Clutching Robes	28	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0028_sage_clutching_robes.jpg	no	grain,vignette,sonic	Sanskrit blast and red sonic rupture. Frontal elder gripping his robe before blast.
29	41.271	42.547	1.276	Shot 029	029 Shankh Mouth Detail	29	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0029_shankh_mouth_detail.jpg	no	grain,vignette	Sanskrit blast and red sonic rupture. Extreme close-up of lips and fingers on conch.
30	42.547	44.221	1.674	Shot 030	030 Red Resonance Spiral	30	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0030_red_resonance_spiral.jpg	no	grain,vignette,sonic	Sanskrit blast and red sonic rupture. Red and cream sonic spiral vortex.
31	44.221	45.426	1.205	Shot 031	031 Deep Red Resonance Spiral	31	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0031_deep_red_resonance_spiral.jpg	no	grain,vignette,sonic	Sanskrit blast and red sonic rupture. Darker red circular sonic spiral.
32	45.426	47.113	1.687	Shot 032	032 Shankh Red Sonic Beam	32	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0032_shankh_red_sonic_beam.jpg	no	grain,vignette,sonic	Sanskrit blast and red sonic rupture. Conch releases red beam from elder's mouth.
33	47.113	48.787	1.674	Shot 033	033 Mountain Dust Fracture	33	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0033_mountain_dust_fracture.jpg	no	grain,vignette,dust	Sanskrit blast and red sonic rupture. Rock face erupts with dust in mountain valley.
34	48.787	50.461	1.674	Shot 034	034 Shankh Side Red Blast	34	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0034_shankh_side_red_blast.jpg	no	grain,vignette,sonic	Sanskrit blast and red sonic rupture. Side angle of conch red blast.
35	50.461	51.482	1.021	Shot 035	035 Smoking Shankh Still	35	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0035_smoking_shankh_still.jpg	no	grain,vignette,dust	Sanskrit blast and red sonic rupture. Conch shell sits in darkness with red smoke.
36	51.482	52.901	1.419	Shot 036	036 Collapsing Buildings Mountain	36	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0036_collapsing_buildings_mountain.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Modern buildings fall into ancient mountain scene.
37	52.901	54.32	1.419	Shot 037	037 Haryanvi Stance Ruins	37	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0037_haryanvi_stance_ruins.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Muscular haryanvi character stands in concrete ruins.
38	54.32	55.596	1.276	Shot 038	038 Aggressive Delivery Caption	38	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0038_aggressive_delivery_caption.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Close mouth and beard with Hindi speech caption.
39	55.596	57.015	1.419	Shot 039	039 Haryanvi Hand Gesture Ruins	39	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0039_haryanvi_hand_gesture_ruins.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Performer gestures in ruined street.
40	57.015	58.689	1.674	Shot 040	040 Low Crouch Ground Impact	40	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0040_low_crouch_ground_impact.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Low angle body crouch near cracked ground.
41	58.689	60.362	1.673	Shot 041	041 Haryanvi Waveform Portrait	41	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0041_haryanvi_waveform_portrait.jpg	no	grain,vignette,sonic	Haryanvi chorus and concrete impact. Intense portrait against red audio waveform.
42	60.362	61.384	1.022	Shot 042	042 Walking Silhouette Ruins	42	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0042_walking_silhouette_ruins.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Black silhouette walks through urban canyon.
43	61.384	63.058	1.674	Shot 043	043 Foot Impact Dust Burst	43	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0043_foot_impact_dust_burst.jpg	no	grain,vignette,dust	Haryanvi chorus and concrete impact. Boot impact throws dust and debris upward.
44	63.058	64.476	1.418	Shot 044	044 Haryanvi Smirk Red Backdrop	44	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0044_haryanvi_smirk_red_backdrop.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Smirking turbaned performer on red background.
45	64.476	65.661	1.185	Shot 045	045 Lone Shadow Floor	45	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0045_lone_shadow_floor.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Standing figure casts long shadows across open floor.
46	65.661	67.335	1.674	Shot 046	046 Radiant Clenched Fist	46	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0046_radiant_clenched_fist.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Raised fist with radial white impact rays.
47	67.335	69.009	1.674	Shot 047	047 Bloodied Fist Ground	47	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0047_bloodied_fist_ground.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Blood-streaked fist held near cracked ground.
48	69.009	70.682	1.673	Shot 048	048 Footprint Audio Waveform	48	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0048_footprint_audio_waveform.jpg	no	grain,vignette,sonic	Haryanvi chorus and concrete impact. Footprint crack with red waveform behind it.
49	70.682	72.271	1.589	Shot 049	049 Rubab Red Spark Pluck	49	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0049_rubab_red_spark_pluck.jpg	yes	grain,vignette,sonic	Haryanvi chorus and concrete impact. Rubab strings plucked with red electric sparks.
50	72.271	73.69	1.419	Shot 050	050 Muscular Haryanvi Charge	50	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0050_muscular_haryanvi_charge.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Performer leans forward with power rays behind him.
51	73.69	75.364	1.674	Shot 051	051 Haryanvi Red Burst	51	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0051_haryanvi_red_burst.jpg	no	grain,vignette,dust	Haryanvi chorus and concrete impact. Performer framed by explosive red burst lines.
52	75.364	76.782	1.418	Shot 052	052 Haryanvi Echo Copies	52	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0052_haryanvi_echo_copies.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Multiple ghosted copies of performer behind leader.
53	76.782	78.371	1.589	Shot 053	053 Warrior Rubab Cracked Wall	53	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0053_warrior_rubab_cracked_wall.jpg	yes	grain,vignette	Haryanvi chorus and concrete impact. Warrior holds string instrument before cracked wall.
54	78.371	80.245	1.874	Shot 054	054 Red Ground Explosion	54	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0054_red_ground_explosion.jpg	no	grain,vignette,dust,sonic	Haryanvi chorus and concrete impact. Red burst explodes from cracked concrete.
55	80.245	81.891	1.646	Shot 055	055 Haryanvi Group Stance	55	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0055_haryanvi_group_stance.jpg	no	grain,vignette	Haryanvi chorus and concrete impact. Group of muscular figures standing in formation.
56	81.891	83.309	1.418	Shot 056	056 Elder Shocked Debris	56	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0056_elder_shocked_debris.jpg	no	grain,vignette,dust	Haryanvi chorus and concrete impact. Elder face surrounded by flying debris.
57	83.309	84.728	1.419	Shot 057	057 Elder Debris Halo	57	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0057_elder_debris_halo.jpg	no	grain,vignette,dust	Haryanvi chorus and concrete impact. Elder portrait framed by circular debris field.
58	84.728	86.373	1.645	Shot 058	058 Mountain Long Road Group	58	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0058_mountain_long_road_group.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Small group walking through distant mountain valley.
59	86.373	87.854	1.481	Shot 059	059 Marching Feet Dust	59	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0059_marching_feet_dust.jpg	no	grain,vignette,dust	Pakhtoon descent and mountain resolve. Close boots marching through dusty ground.
60	87.854	89.131	1.277	Shot 060	060 Weapon Belt Hands	60	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0060_weapon_belt_hands.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Hands grip belt or weapon strap at waist.
61	89.131	90.777	1.646	Shot 061	061 Pakhtoon Formation Mountain	61	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0061_pakhtoon_formation_mountain.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Pakhtoon warrior formation marching in mountains.
62	90.777	92.257	1.48	Shot 062	062 Pakhtoon Squad Close	62	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0062_pakhtoon_squad_close.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Close disciplined group of armed mountain warriors.
63	92.257	93.534	1.277	Shot 063	063 Intense Eyes Closeup	63	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0063_intense_eyes_closeup.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Extreme close-up of fierce eyes.
64	93.534	94.811	1.277	Shot 064	064 Moustache Speech Closeup	64	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0064_moustache_speech_closeup.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Mouth and moustache close-up mid-speech.
65	94.811	96.229	1.418	Shot 065	065 Lone Pakhtoon Red Swirl	65	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0065_lone_pakhtoon_red_swirl.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Single warrior walks through red swirling ground.
66	96.229	97.648	1.419	Shot 066	066 Warriors On Ridge	66	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0066_warriors_on_ridge.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Warriors stand across rocky ridge line.
67	97.648	98.925	1.277	Shot 067	067 Hand Gripping Staff	67	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0067_hand_gripping_staff.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Close hand gripping staff or weapon shaft.
68	98.925	100.343	1.418	Shot 068	068 Descending Pakhtoon Squad	68	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0068_descending_pakhtoon_squad.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Warrior squad descends mountain path.
69	100.343	101.762	1.419	Shot 069	069 Pakhtoon Dialogue Caption	69	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0069_pakhtoon_dialogue_caption.jpg	no	grain,vignette	Pakhtoon descent and mountain resolve. Single warrior in mountains with subtitle caption.
70	101.762	103.18	1.418	Shot 070	070 Library Archway Silhouette	70	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0070_library_archway_silhouette.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Figure enters tall arched library corridor.
71	103.18	104.769	1.589	Shot 071	071 Searching Shelves Locked Book	71	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0071_searching_shelves_locked_book.jpg	no	grain,vignette,sonic	Blood manuscript and Natyashastra chamber. Hand pulls locked book from shelf.
72	104.769	106.187	1.418	Shot 072	072 Manuscript Table Writer	72	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0072_manuscript_table_writer.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Writer works over manuscript at table.
73	106.187	107.606	1.419	Shot 073	073 Natyashastra Page Point	73	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0073_natyashastra_page_point.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Finger points to Natyashastra manuscript page.
74	107.606	109.024	1.418	Shot 074	074 Blood Ink Pot Pen	74	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0074_blood_ink_pot_pen.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Pen dips into red blood ink pot.
75	109.024	110.046	1.022	Shot 075	075 Wrist Cut Ink Mixing	75	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0075_wrist_cut_ink_mixing.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Cut wrist drips blood near ink pot.
76	110.046	111.464	1.418	Shot 076	076 Writing Natya Katha	76	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0076_writing_natya_katha.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Hand writes large Hindi letters on parchment.
77	111.464	112.883	1.419	Shot 077	077 Blood Writing Natyashastra	77	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0077_blood_writing_natyashastra.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Red ink writes Natyashastra text on page.
78	112.883	114.301	1.418	Shot 078	078 Theatre Masks Hall	78	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0078_theatre_masks_hall.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Figure faces floating theatre masks in corridor.
79	114.301	115.72	1.419	Shot 079	079 Red Blood Vortex	79	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0079_red_blood_vortex.jpg	no	grain,vignette,sonic	Blood manuscript and Natyashastra chamber. Swirling red liquid vortex.
80	115.72	117.138	1.418	Shot 080	080 Warrior Pen Portrait	80	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0080_warrior_pen_portrait.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Warrior face holding pen near cheek.
81	117.138	118.557	1.419	Shot 081	081 Red Natyashastra Granth	81	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0081_red_natyashastra_granth.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Open red manuscript book with Sanskrit text.
82	118.557	119.975	1.418	Shot 082	082 Writing Lost Pages	82	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0082_writing_lost_pages.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Writer restores lost pages with pen.
83	119.975	121.252	1.277	Shot 083	083 Theatre Masks Close	83	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0083_theatre_masks_close.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Closer theatre masks and performers scene.
84	121.252	122.273	1.021	Shot 084	084 Blank Red Book	84	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0084_blank_red_book.jpg	no	grain,vignette	Blood manuscript and Natyashastra chamber. Open blank red book on table.
85	122.273	123.919	1.646	Shot 085	085 Mountain Camp Assembly	85	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0085_mountain_camp_assembly.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Mountain camp with assembled fighters and flags.
86	123.919	125.564	1.645	Shot 086	086 Haryanvi Leader Group	86	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0086_haryanvi_leader_group.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Leader portrait with people standing behind.
87	125.564	127.21	1.646	Shot 087	087 Elder Smile Group	87	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0087_elder_smile_group.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Smiling elder with group in background.
88	127.21	128.844	1.634	Shot 088	088 Handshake Close	88	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0088_handshake_close.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Close-up of two hands shaking.
89	128.844	130.478	1.634	Shot 089	089 Tulsi Plant Close	89	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0089_tulsi_plant_close.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Tulsi plant against warm devotional background.
90	130.478	132.584	2.106	Shot 090	090 Ganga Diyas Wide	90	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0090_ganga_diyas_wide.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Wide Ganga river view with floating lamps.
91	132.584	133.861	1.277	Shot 091	091 Shared Tears Split Eyes	91	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0091_shared_tears_split_eyes.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Split-screen eyes with tears.
92	133.861	135.279	1.418	Shot 092	092 Shared Meal Bowl	92	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0092_shared_meal_bowl.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Two men share food bowl across table.
93	135.279	136.698	1.419	Shot 093	093 Haryanvi Seated Speaking	93	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0093_haryanvi_seated_speaking.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Seated haryanvi figure gestures while speaking.
94	136.698	138.116	1.418	Shot 094	094 Spinning Dancer	94	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0094_spinning_dancer.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Dancer twirls with raised arm.
95	138.116	139.293	1.177	Shot 095	095 Bharat Shadow Unity	95	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0095_bharat_shadow_unity.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Two shadows hold hands over word Bharat.
96	139.293	141.221	1.928	Shot 096	096 Handshake Vibration Rings	96	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0096_handshake_vibration_rings.jpg	no	grain,vignette,sonic	Unity, Ganga, Tulsi, shared grief. Handshake with circular force rings.
97	141.221	142.306	1.085	Shot 097	097 Clenched Hand Shards	97	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0097_clenched_hand_shards.jpg	no	grain,vignette	Unity, Ganga, Tulsi, shared grief. Close fist surrounded by broken shards.
98	142.306	143.613	1.307	Shot 098	098 Void Floor Figure	98	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0098_void_floor_figure.jpg	no	grain,vignette	Brahman void and eclipse threshold. Lone figure on jagged white path in black void.
99	143.613	144.635	1.022	Shot 099	099 Absolute Black Field	99	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0099_absolute_black_field.jpg	no	grain,vignette	Brahman void and eclipse threshold. Nearly blank black frame.
100	144.635	145.911	1.276	Shot 100	100 Half Face Extreme Close	100	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0100_half_face_extreme_close.jpg	no	grain,vignette	Brahman void and eclipse threshold. Extreme cropped face close-up.
101	145.911	147.055	1.144	Shot 101	101 Cosmic Face Front	101	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0101_cosmic_face_front.jpg	no	grain,vignette,sonic	Brahman void and eclipse threshold. Frontal turbaned face emerging from darkness.
102	147.055	148.474	1.419	Shot 102	102 Dissolving Face Script	102	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0102_dissolving_face_script.jpg	no	grain,vignette	Brahman void and eclipse threshold. Portrait dissolves into Devanagari text.
103	148.474	149.781	1.307	Shot 103	103 Falling Figure Void	103	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0103_falling_figure_void.jpg	no	grain,vignette	Brahman void and eclipse threshold. Tiny falling figure in blackness.
104	149.781	151.597	1.816	Shot 104	104 Clean Eclipse Halo	104	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0104_clean_eclipse_halo.jpg	no	grain,vignette,sonic	Brahman void and eclipse threshold. Minimal eclipse ring without figure.
105	151.597	153.015	1.418	Shot 105	105 Dissolving Cosmic Face	105	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0105_dissolving_cosmic_face.jpg	no	grain,vignette	Brahman void and eclipse threshold. Face fragments into textured cosmic field.
106	153.015	154.831	1.816	Shot 106	106 Figure Inside Eclipse	106	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0106_figure_inside_eclipse.jpg	no	grain,vignette,sonic	Brahman void and eclipse threshold. Human silhouette stands inside eclipse ring.
107	154.831	156.465	1.634	Shot 107	107 Brahman Smirk Close	107	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0107_brahman_smirk_close.jpg	no	grain,vignette	Brahman void and eclipse threshold. Extreme close-up of calm mysterious smile.
108	156.465	157.772	1.307	Shot 108	108 Black Void Star Mark	108	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0108_black_void_star_mark.jpg	no	grain,vignette	Brahman void and eclipse threshold. Dark frame with small star-like mark.
109	157.772	159.879	2.107	Shot 109	109 Bharat Group March Caption	109	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0109_bharat_group_march_caption.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Group walks toward mountains with Bharat caption.
110	159.879	161.524	1.645	Shot 110	110 Marching Feet Haryanvi Echo	110	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0110_marching_feet_haryanvi_echo.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Feet marching over red ground with caption.
